Type,Dataset,Accuracy,Precision,Recall,F1
dirty,DBLP-ACM,0.9287302871006874,0.7362152624614028,0.9397522522522522,0.8256245362354687
dirty,iTunes-Amazon,0.7178899082568807,0.4626865671641791,0.8611111111111112,0.6019417475728155
dirty,Walmart-Amazon,0.9266715470961444,0.6126482213438735,0.6023316062176166,0.6074461136512084
structured,DBLP-ACM,0.9058835422563688,0.6586556515208412,0.9876126126126126,0.7902680783960352
structured,iTunes-Amazon,0.6422018348623854,0.3983050847457627,0.8703703703703703,0.5465116279069767
structured,Walmart-Amazon,0.944241093216203,0.7758318739054291,0.5738341968911918,0.659717051377513
structured,Beer,0.928374655647383,0.9166666666666666,0.5892857142857143,0.717391304347826
structured,Fodors-Zagats,0.9484126984126984,0.7289719626168224,0.8863636363636364,0.8
structured,Amazon-Google,0.8943523767989533,0.48109965635738833,0.44871794871794873,0.46434494195688225
textual,Abt-Buy,0.9385919165580182,0.7686453576864536,0.6128640776699029,0.6819716407832546
