Type,Dataset,Domain Complex,Domain Simple,General Simple,General Complex
dirty,DBLP-ACM,0.8683693516699411,0.8353591160220994,0.8067729083665338,0.7956989247311828
dirty,iTunes-Amazon,0.574468085106383,0.8333333333333334,0.7272727272727273,0.4642857142857143
dirty,Walmart-Amazon,0.7329192546583851,0.33191489361702126,0.4876325088339223,0.6792452830188679
structured,DBLP-ACM,0.8135904499540864,0.8204158790170132,0.7459086993970715,0.7851458885941645
structured,iTunes-Amazon,0.5591397849462365,0.7346938775510204,0.5783132530120482,0.4369747899159664
structured,Walmart-Amazon,0.8059701492537313,0.38333333333333336,0.5018181818181818,0.7793427230046949
structured,Beer,0.8,0.6,0.6363636363636364,0.8
structured,Fodors-Zagats,0.875,0.8108108108108109,0.9090909090909091,0.6666666666666666
structured,Amazon-Google,0.610909090909091,0.17647058823529413,0.20915032679738563,0.5756240822320118
textual,Abt-Buy,0.8398268398268398,0.36220472440944884,0.48056537102473496,0.8174273858921162
